DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
3/25/20,25,3,2020,100,6,South_Korea,KR
3/24/20,24,3,2020,76,7,South_Korea,KR
3/23/20,23,3,2020,64,9,South_Korea,KR
3/22/20,22,3,2020,98,1,South_Korea,KR
3/21/20,21,3,2020,147,3,South_Korea,KR
3/20/20,20,3,2020,87,9,South_Korea,KR
3/19/20,19,3,2020,152,5,South_Korea,KR
3/18/20,18,3,2020,93,5,South_Korea,KR
3/17/20,17,3,2020,84,6,South_Korea,KR
3/16/20,16,3,2020,74,0,South_Korea,KR
3/15/20,15,3,2020,76,3,South_Korea,KR
3/14/20,14,3,2020,107,5,South_Korea,KR
3/13/20,13,3,2020,110,1,South_Korea,KR
3/12/20,12,3,2020,114,6,South_Korea,KR
3/11/20,11,3,2020,242,6,South_Korea,KR
3/10/20,10,3,2020,131,3,South_Korea,KR
3/9/20,9,3,2020,248,1,South_Korea,KR
3/8/20,8,3,2020,367,6,South_Korea,KR
3/7/20,7,3,2020,483,2,South_Korea,KR
3/6/20,6,3,2020,518,7,South_Korea,KR
3/5/20,5,3,2020,438,3,South_Korea,KR
3/4/20,4,3,2020,516,4,South_Korea,KR
3/3/20,3,3,2020,600,6,South_Korea,KR
3/2/20,2,3,2020,686,5,South_Korea,KR
3/1/20,1,3,2020,595,1,South_Korea,KR
2/29/20,29,2,2020,909,3,South_Korea,KR
2/28/20,28,2,2020,427,1,South_Korea,KR
2/27/20,27,2,2020,449,1,South_Korea,KR
2/26/20,26,2,2020,254,3,South_Korea,KR
2/25/20,25,2,2020,130,1,South_Korea,KR
2/24/20,24,2,2020,161,2,South_Korea,KR
2/23/20,23,2,2020,256,3,South_Korea,KR
2/22/20,22,2,2020,190,1,South_Korea,KR
2/21/20,21,2,2020,75,1,South_Korea,KR
2/20/20,20,2,2020,34,0,South_Korea,KR
2/19/20,19,2,2020,15,0,South_Korea,KR
2/18/20,18,2,2020,1,0,South_Korea,KR
2/17/20,17,2,2020,1,0,South_Korea,KR
2/16/20,16,2,2020,1,0,South_Korea,KR
2/15/20,15,2,2020,0,0,South_Korea,KR
2/14/20,14,2,2020,0,0,South_Korea,KR
2/13/20,13,2,2020,0,0,South_Korea,KR
2/12/20,12,2,2020,0,0,South_Korea,KR
2/11/20,11,2,2020,1,0,South_Korea,KR
2/10/20,10,2,2020,2,0,South_Korea,KR
2/9/20,9,2,2020,1,0,South_Korea,KR
2/8/20,8,2,2020,0,0,South_Korea,KR
2/7/20,7,2,2020,1,0,South_Korea,KR
2/6/20,6,2,2020,5,0,South_Korea,KR
2/5/20,5,2,2020,2,0,South_Korea,KR
2/4/20,4,2,2020,1,0,South_Korea,KR
2/3/20,3,2,2020,0,0,South_Korea,KR
2/2/20,2,2,2020,3,0,South_Korea,KR
2/1/20,1,2,2020,5,0,South_Korea,KR
1/31/20,31,1,2020,3,0,South_Korea,KR
1/30/20,30,1,2020,0,0,South_Korea,KR
1/29/20,29,1,2020,0,0,South_Korea,KR
1/28/20,28,1,2020,0,0,South_Korea,KR
1/27/20,27,1,2020,1,0,South_Korea,KR
1/26/20,26,1,2020,1,0,South_Korea,KR
1/25/20,25,1,2020,0,0,South_Korea,KR
1/24/20,24,1,2020,1,0,South_Korea,KR
1/23/20,23,1,2020,0,0,South_Korea,KR
1/22/20,22,1,2020,0,0,South_Korea,KR
1/21/20,21,1,2020,0,0,South_Korea,KR
1/20/20,20,1,2020,1,0,South_Korea,KR
1/19/20,19,1,2020,0,0,South_Korea,KR
1/18/20,18,1,2020,0,0,South_Korea,KR
1/17/20,17,1,2020,0,0,South_Korea,KR
1/16/20,16,1,2020,0,0,South_Korea,KR
1/15/20,15,1,2020,0,0,South_Korea,KR
1/14/20,14,1,2020,0,0,South_Korea,KR
1/13/20,13,1,2020,0,0,South_Korea,KR
1/12/20,12,1,2020,0,0,South_Korea,KR
1/11/20,11,1,2020,0,0,South_Korea,KR
1/10/20,10,1,2020,0,0,South_Korea,KR
1/9/20,9,1,2020,0,0,South_Korea,KR
1/8/20,8,1,2020,0,0,South_Korea,KR
1/7/20,7,1,2020,0,0,South_Korea,KR
1/6/20,6,1,2020,0,0,South_Korea,KR
1/5/20,5,1,2020,0,0,South_Korea,KR
1/4/20,4,1,2020,0,0,South_Korea,KR
1/3/20,3,1,2020,0,0,South_Korea,KR
1/2/20,2,1,2020,0,0,South_Korea,KR
1/1/20,1,1,2020,0,0,South_Korea,KR
12/31/19,31,12,2019,0,0,South_Korea,KR
