DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
3/25/20,25,3,2020,1427,87,United_Kingdom,UK
3/24/20,24,3,2020,967,54,United_Kingdom,UK
3/23/20,23,3,2020,665,48,United_Kingdom,UK
3/22/20,22,3,2020,1035,56,United_Kingdom,UK
3/21/20,21,3,2020,706,33,United_Kingdom,UK
3/20/20,20,3,2020,647,41,United_Kingdom,UK
3/19/20,19,3,2020,680,43,United_Kingdom,UK
3/18/20,18,3,2020,407,5,United_Kingdom,UK
3/17/20,17,3,2020,152,20,United_Kingdom,UK
3/16/20,16,3,2020,251,14,United_Kingdom,UK
3/15/20,15,3,2020,433,11,United_Kingdom,UK
3/14/20,14,3,2020,117,0,United_Kingdom,UK
3/13/20,13,3,2020,134,4,United_Kingdom,UK
3/12/20,12,3,2020,83,0,United_Kingdom,UK
3/11/20,11,3,2020,52,1,United_Kingdom,UK
3/10/20,10,3,2020,48,2,United_Kingdom,UK
3/9/20,9,3,2020,67,1,United_Kingdom,UK
3/8/20,8,3,2020,43,1,United_Kingdom,UK
3/7/20,7,3,2020,48,0,United_Kingdom,UK
3/6/20,6,3,2020,30,1,United_Kingdom,UK
3/5/20,5,3,2020,34,0,United_Kingdom,UK
3/4/20,4,3,2020,11,0,United_Kingdom,UK
3/3/20,3,3,2020,4,0,United_Kingdom,UK
3/2/20,2,3,2020,13,0,United_Kingdom,UK
3/1/20,1,3,2020,5,0,United_Kingdom,UK
2/29/20,29,2,2020,2,0,United_Kingdom,UK
2/28/20,28,2,2020,3,0,United_Kingdom,UK
2/27/20,27,2,2020,0,0,United_Kingdom,UK
2/26/20,26,2,2020,0,0,United_Kingdom,UK
2/25/20,25,2,2020,0,0,United_Kingdom,UK
2/24/20,24,2,2020,4,0,United_Kingdom,UK
2/23/20,23,2,2020,0,0,United_Kingdom,UK
2/22/20,22,2,2020,0,0,United_Kingdom,UK
2/21/20,21,2,2020,0,0,United_Kingdom,UK
2/20/20,20,2,2020,0,0,United_Kingdom,UK
2/19/20,19,2,2020,0,0,United_Kingdom,UK
2/18/20,18,2,2020,0,0,United_Kingdom,UK
2/17/20,17,2,2020,0,0,United_Kingdom,UK
2/16/20,16,2,2020,0,0,United_Kingdom,UK
2/15/20,15,2,2020,0,0,United_Kingdom,UK
2/14/20,14,2,2020,0,0,United_Kingdom,UK
2/13/20,13,2,2020,1,0,United_Kingdom,UK
2/12/20,12,2,2020,0,0,United_Kingdom,UK
2/11/20,11,2,2020,4,0,United_Kingdom,UK
2/10/20,10,2,2020,0,0,United_Kingdom,UK
2/9/20,9,2,2020,1,0,United_Kingdom,UK
2/8/20,8,2,2020,0,0,United_Kingdom,UK
2/7/20,7,2,2020,1,0,United_Kingdom,UK
2/6/20,6,2,2020,0,0,United_Kingdom,UK
2/5/20,5,2,2020,0,0,United_Kingdom,UK
2/4/20,4,2,2020,0,0,United_Kingdom,UK
2/3/20,3,2,2020,0,0,United_Kingdom,UK
2/2/20,2,2,2020,0,0,United_Kingdom,UK
2/1/20,1,2,2020,0,0,United_Kingdom,UK
1/31/20,31,1,2020,2,0,United_Kingdom,UK
1/30/20,30,1,2020,0,0,United_Kingdom,UK
1/29/20,29,1,2020,0,0,United_Kingdom,UK
1/28/20,28,1,2020,0,0,United_Kingdom,UK
1/27/20,27,1,2020,0,0,United_Kingdom,UK
1/26/20,26,1,2020,0,0,United_Kingdom,UK
1/25/20,25,1,2020,0,0,United_Kingdom,UK
1/24/20,24,1,2020,0,0,United_Kingdom,UK
1/23/20,23,1,2020,0,0,United_Kingdom,UK
1/22/20,22,1,2020,0,0,United_Kingdom,UK
1/21/20,21,1,2020,0,0,United_Kingdom,UK
1/20/20,20,1,2020,0,0,United_Kingdom,UK
1/19/20,19,1,2020,0,0,United_Kingdom,UK
1/18/20,18,1,2020,0,0,United_Kingdom,UK
1/17/20,17,1,2020,0,0,United_Kingdom,UK
1/16/20,16,1,2020,0,0,United_Kingdom,UK
1/15/20,15,1,2020,0,0,United_Kingdom,UK
1/14/20,14,1,2020,0,0,United_Kingdom,UK
1/13/20,13,1,2020,0,0,United_Kingdom,UK
1/12/20,12,1,2020,0,0,United_Kingdom,UK
1/11/20,11,1,2020,0,0,United_Kingdom,UK
1/10/20,10,1,2020,0,0,United_Kingdom,UK
1/9/20,9,1,2020,0,0,United_Kingdom,UK
1/8/20,8,1,2020,0,0,United_Kingdom,UK
1/7/20,7,1,2020,0,0,United_Kingdom,UK
1/6/20,6,1,2020,0,0,United_Kingdom,UK
1/5/20,5,1,2020,0,0,United_Kingdom,UK
1/4/20,4,1,2020,0,0,United_Kingdom,UK
1/3/20,3,1,2020,0,0,United_Kingdom,UK
1/2/20,2,1,2020,0,0,United_Kingdom,UK
1/1/20,1,1,2020,0,0,United_Kingdom,UK
12/31/19,31,12,2019,0,0,United_Kingdom,UK
